jahr,bezirk,ortsteil,leitung16,leitung50
2017,"Spandau","Siemensstadt",96.69,86.69
2017,"Spandau","Spandau",96.69,86.69
2017,"Spandau","Staaken",96.69,86.69
2017,"Spandau","Wilhelmsstadt",96.69,86.69
2017,"Steglitz-Zehlendorf","Dahlem",99.20,91.00
2017,"Steglitz-Zehlendorf","Lankwitz",99.20,91.00
2017,"Steglitz-Zehlendorf","Lichterfelde",99.20,91.00
2017,"Steglitz-Zehlendorf","Nikolassee",99.20,91.00
2017,"Steglitz-Zehlendorf","Steglitz",99.20,91.00
2017,"Steglitz-Zehlendorf","Wannsee",99.20,91.00
2017,"Steglitz-Zehlendorf","Zehlendorf",99.20,91.00
2017,"Tempelhof-Schöneberg","Friedenau",99.09,91.32
2017,"Tempelhof-Schöneberg","Lichtenrade",99.09,91.32
2017,"Tempelhof-Schöneberg","Mariendorf",99.09,91.32
2017,"Tempelhof-Schöneberg","Marienfelde",99.09,91.32
2017,"Tempelhof-Schöneberg","Schöneberg",99.09,91.32
2017,"Tempelhof-Schöneberg","Tempelhof",99.09,91.32
2017,"Neukölln","Britz",99.05,88.38
2017,"Neukölln","Buckow",99.05,88.38
2017,"Neukölln","Gropiusstadt",99.05,88.38
2017,"Neukölln","Neukölln",99.05,88.38
2017,"Neukölln","Rudow",99.05,88.38
2017,"Treptow-Köpenick","Adlershof",97.12,82.97
2017,"Treptow-Köpenick","Altglienicke",97.12,82.97
2017,"Treptow-Köpenick","Alt-Treptow",97.12,82.97
2017,"Treptow-Köpenick","Baumschulenweg",97.12,82.97
2017,"Treptow-Köpenick","Bohnsdorf",97.12,82.97
2017,"Treptow-Köpenick","Friedrichshagen",97.12,82.97
2017,"Treptow-Köpenick","Grünau",97.12,82.97
2017,"Treptow-Köpenick","Johannistal",97.12,82.97
2017,"Treptow-Köpenick","Köpenick",97.12,82.97
2017,"Treptow-Köpenick","Müggelheim",97.12,82.97
2017,"Treptow-Köpenick","Niederschöneweide",97.12,82.97
2017,"Treptow-Köpenick","Oberschöneweide",97.12,82.97
2017,"Treptow-Köpenick","Plänterwald",97.12,82.97
2017,"Treptow-Köpenick","Rahnsdorf",97.12,82.97
2017,"Treptow-Köpenick","Schmöckwitz",97.12,82.97
2017,"Marzahn-Hellersdorf","Biesdorf",98.12,87.27
2017,"Marzahn-Hellersdorf","Hellersdorf",98.12,87.27
2017,"Marzahn-Hellersdorf","Kaulsdorf",98.12,87.27
2017,"Marzahn-Hellersdorf","Mahlsdorf",98.12,87.27
2017,"Marzahn-Hellersdorf","Marzahn",98.12,87.27
2017,"Lichtenberg","Alt-Hohenschönhausen",95.97,82.09
2017,"Lichtenberg","Falkenberg",95.97,82.09
