id,t1_mean,t1_median,t2_mean,t2_median,t3_mean,t3_median,t4_mean,t4_median,t5_mean,t5_median,t6_mean,t6_median,t7_mean,t7_median,t8_mean,t8_median,t9_mean,t9_median,t10_mean,t10_median,t11_mean,t11_median,t12_mean,t12_median
786,0,0,0,0,1,0,4.8,0,6.166666666666667,2,5.285714285714286,0,4.625,0,4.111111111111111,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
795,5,5,3.3333333333333335,0,2.5,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
805,3.5,3.5,2.3333333333333335,2,1.75,1,1.4,0,1.1666666666666667,0,1,0,1,0,1,0,0.9,0,0.9090909090909091,0,0.8333333333333334,0,0.7692307692307693,0
808,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.6666666666666665,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
812,2.5,2.5,1.6666666666666667,0,1.25,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
815,2.5,2.5,1.6666666666666667,0,1.25,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
816,0,0,0,0,0,0,0,0,0.8333333333333334,0,0.7142857142857143,0,0.625,0,0.5555555555555556,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
829,6,6,5.333333333333333,4,4,4,3.2,4,2.6666666666666665,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
835,0.5,0.5,0.3333333333333333,0,0.25,0,0.4,0,0.3333333333333333,0,0.42857142857142855,0,0.375,0,0.3333333333333333,0,0.3,0,0.2727272727272727,0,0.4166666666666667,0,0.7692307692307693,0
839,3.5,3.5,6,5,5.75,5,5.2,5,5.5,5,5.285714285714286,5,5.625,5,5,5,4.5,4.5,4.090909090909091,4,3.75,3.5,3.5384615384615383,3
846,NaN,NaN,5.666666666666667,5,NaN,NaN,3.4,4,2.8333333333333335,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
848,4.5,4.5,5,6,4,4.5,4,4,3.6666666666666665,3.5,3.7142857142857144,4,3.25,3.5,2.888888888888889,3,2.6,2.5,NaN,NaN,NaN,NaN,NaN,NaN
849,0.5,0.5,0.3333333333333333,0,0.25,0,0.2,0,0.16666666666666666,0,0.42857142857142855,0,0.5,0,0.4444444444444444,0,0.4,0,0.36363636363636365,0,0.3333333333333333,0,0.3076923076923077,0
850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
851,1,1,0.6666666666666666,0,0.5,0,0.4,0,0.3333333333333333,0,0.2857142857142857,0,0.25,0,0.3333333333333333,0,0.4,0,0.36363636363636365,0,0.3333333333333333,0,0.3076923076923077,0
