date,value,type
19,0.056,1959
20,0.037,1959
21,0.000,1959
22,0.000,1959
23,0.000,1959
0,0.300,1962
1,0.512,1962
2,0.350,1962
3,0.338,1962
4,0.388,1962
5,0.325,1962
6,0.675,1962
7,0.412,1962
8,0.338,1962
9,0.512,1962
10,1.000,1962
11,0.425,1962
12,0.175,1962
13,0.275,1962
14,0.100,1962
15,0.375,1962
16,0.313,1962
17,0.325,1962
18,0.438,1962
19,0.650,1962
20,0.588,1962
21,0.700,1962
22,0.375,1962
23,0.325,1962
0,0.408,1976
1,0.224,1976
2,0.143,1976
3,0.061,1976
4,0.061,1976
5,0.265,1976
6,0.163,1976
7,1.000,1976
8,0.102,1976
9,0.041,1976
10,0.061,1976
11,0.041,1976
12,0.102,1976
13,0.245,1976
14,0.224,1976
15,0.102,1976
16,0.061,1976
17,0.041,1976
18,0.061,1976
19,0.020,1976
20,0.082,1976
21,0.041,1976
22,0.020,1976
23,0.041,1976
0,0.667,1986
1,0.625,1986
2,0.917,1986
3,1.000,1986
4,0.583,1986
5,0.375,1986
6,0.667,1986
7,0.333,1986
8,0.042,1986
9,0.042,1986
10,0.250,1986
11,0.083,1986
12,0.250,1986
13,0.292,1986
14,0.083,1986
15,0.292,1986
16,0.208,1986
17,0.250,1986
18,0.375,1986
19,0.583,1986
20,0.250,1986
21,0.375,1986
22,0.333,1986
23,0.250,1986
0,0.714,1989
1,0.750,1989
2,1.000,1989
3,0.786,1989
4,0.357,1989
5,0.286,1989
6,0.500,1989
7,0.393,1989
8,0.107,1989
9,0.179,1989
10,0.107,1989
11,0.036,1989
12,0.286,1989
13,0.179,1989
14,0.250,1989
15,0.214,1989
16,0.107,1989
17,0.179,1989
18,0.286,1989
19,0.250,1989
20,0.143,1989
21,0.143,1989
22,0.179,1989
23,0.286,1989
0,0.000,2027
1,0.000,2027
2,0.000,2027
3,0.000,2027
4,0.000,2027
5,0.086,2027
6,0.086,2027
7,0.143,2027
8,0.029,2027
9,0.200,2027
10,0.229,2027
11,0.086,2027
12,1.000,2027
13,0.114,2027
14,0.029,2027
15,0.000,2027
16,0.000,2027
17,0.000,2027
18,0.000,2027
19,0.000,2027
20,0.000,2027
21,0.000,2027
22,0.000,2027
23,0.000,2027
0,1.000,2046
1,0.689,2046
2,0.121,2046
3,0.053,2046
4,0.030,2046
5,0.023,2046
6,0.038,2046
7,0.008,2046
8,0.023,2046
9,0.023,2046
10,0.023,2046
11,0.023,2046
12,0.068,2046
13,0.030,2046
14,0.045,2046
15,0.015,2046
16,0.030,2046
17,0.015,2046
18,0.000,2046
19,0.000,2046
20,0.000,2046
21,0.015,2046
22,0.000,2046
23,0.053,2046
0,0.000,2098
1,0.000,2098
2,0.033,2098
3,0.800,2098
4,0.700,2098
5,0.733,2098
6,0.333,2098
7,0.333,2098
8,0.100,2098
9,0.233,2098
10,0.767,2098
11,1.000,2098
12,0.333,2098
13,0.067,2098
