jahr,geber,politikbereich,betrag,plz,name,zweck,empfaengertyp,empfaengerid
2015,15,17,470400,139,1484,11027,39,172
2016,15,17,474700,139,1484,11027,39,172
2009,08,17,1500,336,1485,6975,39,1050
2016,08,17,2210,336,1485,27696,39,1050
2014,03,04,3594,53,1486,18259,39,926
2015,03,04,3686,53,1486,18259,39,926
2016,03,04,4082,53,1486,18259,39,926
2014,06,04,7442,53,1486,20421,39,926
2015,06,04,2652,53,1486,20421,39,926
2015,06,04,4665,53,1486,20422,39,926
2016,06,04,2018,53,1486,20421,39,926
2016,06,04,4400,53,1486,20422,39,926
2015,17,14,175050,53,1487,5846,15,5489
2015,08,04,1900,53,1487,20476,15,5489
2016,08,04,1958,53,1487,20476,15,5489
2014,27,05,39399,206,1488,29472,39,2774
2014,02,04,500,70,1489,4292,39,2779
2011,11,14,30324,107,1489,17725,39,2779
2012,11,14,92974,107,1489,17725,39,2779
2013,11,14,92974,70,1489,17725,39,2779
2015,11,14,93835,70,1489,17725,39,2779
2014,16,02,724,70,1489,1610,39,2779
2014,16,02,52470,70,1489,4043,39,2779
